time,lower,upper,prediction,ground_truth
1970--4--10.0416666667,-1.44919327583,113.677664132,2.31643108729,0.28
1970--4--10.0833333333,-1.44742530002,113.677664132,2.27452240742,0.3
1970--4--10.125,-1.44567411784,113.677664132,2.26909537589,0.34
1970--4--10.1666666667,-1.44388506916,113.677664132,2.26379162756,0.34
1970--4--10.2083333333,-1.4421516104,113.677664132,2.09088536571,0.38
1970--4--10.25,-1.4404224734,113.677664133,2.08599466728,0.38
1970--4--10.2916666667,-1.43878321373,113.677664133,2.08106870942,0.42
1970--4--10.3333333333,-1.43713829899,113.677664133,2.07630969886,0.42
1970--4--10.375,-1.43553369882,113.677664133,1.96500744691,0.46
1970--4--10.4166666667,-1.4339291765,113.677664133,1.96057356453,0.48
1970--4--10.4583333333,-1.43233418334,113.677664133,1.95616970818,0.5
1970--4--10.5,-1.43075006419,113.677664133,1.95183254261,0.52
1970--4--10.5416666667,-1.42922687456,113.677664133,1.8861123817,0.54
1970--4--10.5833333333,-1.42773697831,113.677664133,1.88202145463,0.56
1970--4--10.625,-1.42628362708,113.677664133,1.87799820106,0.58
1970--4--10.6666666667,-1.42488988067,113.677664133,1.87404258386,0.62
1970--4--10.7083333333,-1.42350262517,113.677664133,1.83412989596,0.62
1970--4--10.75,-1.42220225634,113.677664133,1.83033173097,0.66
1970--4--10.7916666667,-1.42091549107,113.677664134,1.82673228963,0.68
1970--4--10.8333333333,-1.41966107452,113.677664134,1.82315825539,0.72
1970--4--10.875,-1.41840086935,113.677664134,1.79146417268,0.74
1970--4--10.9166666667,-1.41715145993,113.677664134,1.78812767455,0.78
1970--4--10.9583333333,-1.41582005219,113.677664134,1.78495588554,0.82
1970--4--11,-1.41440475505,113.677664134,1.78190415574,0.84
1970--4--11.0416666667,-1.4129734588,113.677664134,1.76996863105,0.82
1970--4--11.0833333333,-1.41169294737,113.677664134,1.76682205581,0.8
1970--4--11.125,-1.41040273784,113.677664134,1.76364848182,0.8
1970--4--11.1666666667,-1.40908758099,113.677664134,1.76054437656,0.88
1970--4--11.2083333333,-1.40757422044,113.677664134,1.75785447248,0.94
1970--4--11.25,-1.40590160172,113.677664134,1.75529349824,1.02
1970--4--11.2916666667,-1.40404320497,113.677664134,1.75302225169,0.94
1970--4--11.3333333333,-1.40234999072,113.677664134,1.75013082228,1.06
1970--4--11.375,-1.40034956967,113.677664135,1.74811186122,1.08
1970--4--11.4166666667,-1.39830294916,113.677664135,1.7458982445,1.1
1970--4--11.4583333333,-1.39618535873,113.677664135,1.74375658487,1.1
1970--4--11.5,-1.3940471133,113.677664135,1.74157384728,1.12
1970--4--11.5416666667,-1.39186220637,113.677664135,1.73951879135,1.12
1970--4--11.5833333333,-1.38965727789,113.677664135,1.73742169446,1.12
1970--4--11.625,-1.38743286722,113.677664135,1.73533892972,1.14
1970--4--11.6666666667,-1.38513861815,113.677664135,1.73338340763,1.14
1970--4--11.7083333333,-1.38287132732,113.677664136,1.73138491095,1.16
1970--4--11.75,-1.38053410377,113.677664136,1.7295137028,1.16
1970--4--11.7916666667,-1.37817861017,113.677664136,1.72759858583,1.16
1970--4--11.8333333333,-1.37584980206,113.677664136,1.72569644563,1.16
1970--4--11.875,-1.37350267252,113.677664136,1.7238071494,1.16
1970--4--11.9166666667,-1.37115970444,113.677664136,1.72193056615,1.2
1970--4--11.9583333333,-1.36874053023,113.677664136,1.7202946525,1.22
1970--4--12,-1.36627361018,113.677664136,1.71867184999,1.24
1970--4--12.0416666667,-1.36375866378,113.677664137,1.71711905264,1.4
1970--4--12.0833333333,-1.3607185583,113.677664137,1.71649823097,1.54
1970--4--12.125,-1.35724391406,113.677664137,1.71632318635,1.7
1970--4--12.1666666667,-1.35321644301,113.677664137,1.71683650133,1.9
1970--4--12.2083333333,-1.34848505649,113.677664137,1.71835277001,2.02
1970--4--12.25,-1.34326447701,113.677664138,1.72009828971,2.14
1970--4--12.2916666667,-1.3375501986,113.677664138,1.72240790507,2.32
1970--4--12.3333333333,-1.33106057434,113.677664138,1.72591550428,2.52
1970--4--12.375,-1.32358972261,113.677664139,1.73066075136,2.64
1970--4--12.4166666667,-1.31551159451,113.677664139,1.73568035435,2.76
1970--4--12.4583333333,-1.30678091452,113.67766414,1.74142423221,2.84
1970--4--12.5,-1.29764399057,113.67766414,1.7473999873,2.92
1970--4--12.5416666667,-1.28805657922,113.677664141,1.75566520794,3.04
1970--4--12.5833333333,-1.27775623227,113.677664141,1.76137290879,3.12
1970--4--12.625,-1.26699920485,113.677664142,1.76912799931,3.2
1970--4--12.6666666667,-1.2557768948,113.677664142,1.7774063444,3.28
1970--4--12.7083333333,-1.24406577665,113.677664143,1.78621849666,3.38
1970--4--12.75,-1.23174253501,113.677664144,1.79589506013,3.4
1970--4--12.7916666667,-1.21935750647,113.677664145,1.80499391507,3.42
1970--4--12.8333333333,-1.20692637313,113.677664145,1.81414544817,3.44
1970--4--12.875,-1.19445030519,113.677664146,1.82334918478,3.48
1970--4--12.9166666667,-1.18176989261,113.677664147,1.8329291038,3.5
1970--4--12.9583333333,-1.16904818292,113.677664148,1.84239693032,3.52
1970--4--13,-1.15631145893,113.677664148,1.85191429209,3.54
1970--4--13.0416666667,-1.14354701599,113.677664149,1.86148073012,3.6
1970--4--13.0833333333,-1.13039603347,113.67766415,1.87175562864,3.64
1970--4--13.125,-1.11705952766,113.677664151,1.8820808916,3.68
1970--4--13.1666666667,-1.10353842255,113.677664152,1.89262031029,3.72
1970--4--13.2083333333,-1.08983390961,113.677664153,1.9033735252,3.78
1970--4--13.25,-1.07579066639,113.677664153,1.91468735981,3.82
1970--4--13.2916666667,-1.0615878604,113.677664154,1.92604196868,3.86
1970--4--13.3333333333,-1.04720467617,113.677664155,1.93760884202,3.88
1970--4--13.375,-1.03280246082,113.677664156,1.94903093134,3.88
1970--4--13.4166666667,-1.01856055406,113.677664157,1.96013152989,3.9
1970--4--13.4583333333,-1.00425938756,113.677664158,1.97144177649,3.92
1970--4--13.5,-0.989939871318,113.677664159,1.98278469855,3.92
1970--4--13.5416666667,-0.975758871726,113.67766416,1.9938103132,3.92
1970--4--13.5833333333,-0.961722413531,113.677664161,2.00469802914,3.94
1970--4--13.625,-0.947665331925,113.677664162,2.01579396899,3.94
1970--4--13.6666666667,-0.933724597738,113.677664163,2.02658126102,3.94
1970--4--13.7083333333,-0.919922872871,113.677664164,2.03723587114,3.96
1970--4--13.75,-0.906091245659,113.677664165,2.04809761775,3.98
1970--4--13.7916666667,-0.892238350806,113.677664166,2.05899603238,3.78
1970--4--13.8333333333,-0.879948084583,113.677664167,2.0663828655,3.74
1970--4--13.875,-0.868025548736,113.677664168,2.07468399361,3.68
1970--4--13.9166666667,-0.856593070385,113.677664169,2.08231645804,3.64
1970--4--13.9583333333,-0.845497629405,113.67766417,2.08973681932,3.6
1970--4--14,-0.834734374634,113.677664171,2.0968087525,3.62
1970--4--14.0416666667,-0.823932239448,113.677664172,2.10435701362,3.56
1970--4--14.0833333333,-0.813555724025,113.677664172,2.11088402281,3.5
1970--4--14.125,-0.803599750425,113.677664173,2.11696807314,3.46
1970--4--14.1666666667,-0.79392993875,113.677664174,2.12287669384,3.44
1970--4--14.2083333333,-0.784428701897,113.677664175,2.12873288716,3.4
1970--4--14.25,-0.77520478455,113.677664176,2.13417233563,3.38
1970--4--14.2916666667,-0.766139151722,113.677664176,2.13956523777,3.36
1970--4--14.3333333333,-0.757234375378,113.677664177,2.14479311641,3.34
1970--4--14.375,-0.7484805453,113.677664178,2.14985980319,3.32
1970--4--14.4166666667,-0.739880381215,113.677664178,2.15476901331,3.28
1970--4--14.4583333333,-0.731527836602,113.677664179,2.15930320275,3.24
