time1,time2,post_calib,pre_calib,obs
1-Jan-70,1:00,20,20,11.1
1-Jan-70,2:00,20,19.9,11.7
1-Jan-70,3:00,19.9,19.9,11.9
1-Jan-70,4:00,19.9,19.8,12.5
1-Jan-70,5:00,19.9,19.8,13.2
1-Jan-70,6:00,19.8,20,13.9
1-Jan-70,7:00,19.8,20.6,14.4
1-Jan-70,8:00,19.8,21.6,14.7
1-Jan-70,9:00,19.7,22.7,15.1
1-Jan-70,10:00,19.7,24,15.4
1-Jan-70,11:00,19.7,25.4,15.7
1-Jan-70,12:00,19.6,26.8,16.2
1-Jan-70,13:00,19.6,28.4,16.6
1-Jan-70,14:00,19.6,30,17
1-Jan-70,15:00,19.5,31.7,17.4
1-Jan-70,16:00,19.5,33.3,17.8
1-Jan-70,17:00,19.5,34.8,18.2
1-Jan-70,18:00,19.4,36.1,18.5
1-Jan-70,19:00,19.4,37.3,18.8
1-Jan-70,20:00,19.4,38.2,19.1
1-Jan-70,21:00,19.3,38.9,19.2
1-Jan-70,22:00,19.3,39.4,19.2
1-Jan-70,23:00,19.3,39.7,19.2
2-Jan-70,0:00,19.2,39.7,19.2
2-Jan-70,1:00,19.2,39.4,19.6
2-Jan-70,2:00,19.2,38.7,19.4
2-Jan-70,3:00,19.1,37.8,19.2
2-Jan-70,4:00,19.1,36.9,19.1
2-Jan-70,5:00,19.1,36.1,19
2-Jan-70,6:00,19,35.3,18.9
2-Jan-70,7:00,19,34.5,18.8
2-Jan-70,8:00,19,33.8,18.7
2-Jan-70,9:00,18.9,33,18.6
2-Jan-70,10:00,18.9,32.3,18.5
2-Jan-70,11:00,18.9,31.7,18.4
2-Jan-70,12:00,18.8,31,18.3
2-Jan-70,13:00,18.8,30.4,18.2
2-Jan-70,14:00,18.8,29.8,18.1
2-Jan-70,15:00,18.8,29.3,18
2-Jan-70,16:00,18.7,28.7,18
2-Jan-70,17:00,18.7,28.2,17.9
2-Jan-70,18:00,18.7,27.7,17.8
2-Jan-70,19:00,18.6,27.2,17.8
2-Jan-70,20:00,18.6,26.7,17.7
2-Jan-70,21:00,18.6,26.2,17.7
2-Jan-70,22:00,18.5,25.8,17.7
2-Jan-70,23:00,18.5,25.4,17.7
3-Jan-70,0:00,18.5,25,17.7
3-Jan-70,1:00,18.4,24.6,17.2
3-Jan-70,2:00,18.4,24.2,17.1
3-Jan-70,3:00,18.4,23.8,16.9
3-Jan-70,4:00,18.3,23.5,16.8
3-Jan-70,5:00,18.3,23.1,16.6
3-Jan-70,6:00,18.3,22.8,16.5
3-Jan-70,7:00,18.2,22.5,16.4
3-Jan-70,8:00,18.2,22.1,16.2
3-Jan-70,9:00,18.2,21.8,16.1
3-Jan-70,10:00,18.2,21.6,15.9
3-Jan-70,11:00,18.1,21.3,15.8
3-Jan-70,12:00,18.1,21,15.6
3-Jan-70,13:00,18.1,20.7,15.4
3-Jan-70,14:00,18,20.5,15.2
3-Jan-70,15:00,18,20.2,15.1
3-Jan-70,16:00,18,20,14.9
3-Jan-70,17:00,17.9,19.8,14.8
3-Jan-70,18:00,17.9,19.5,14.6
3-Jan-70,19:00,17.9,19.3,14.5
3-Jan-70,20:00,17.8,19.1,14.3
3-Jan-70,21:00,17.8,18.9,14.1
3-Jan-70,22:00,17.8,18.7,14
3-Jan-70,23:00,17.7,18.5,14
4-Jan-70,0:00,17.7,18.3,14
4-Jan-70,1:00,17.7,18.2,13.5
4-Jan-70,2:00,17.7,18,13.4
4-Jan-70,3:00,17.6,17.8,13.2
4-Jan-70,4:00,17.6,17.6,13.1
4-Jan-70,5:00,17.6,17.5,13
4-Jan-70,6:00,17.5,17.3,13
4-Jan-70,7:00,17.5,17.2,12.9
