runoff_obs,basin_cfs_pred,year,month,day,precip,tmax,tmin
2.8,9.501545,2003,5,16,0,72.4,46
3.4,10.410794,2003,5,17,0,74.7,47.8
5,12.70609,2003,5,22,0,76.3,47.9
6,14.094095,2003,5,23,0,80.1,51.3
7.1,15.384868,2003,5,24,0,81.8,55.3
8.4,15.752813,2003,5,25,0,79,51.7
10,16.664216,2003,5,26,0,78.9,56.4
9.1,17.037815,2003,5,27,0,81.6,55.3
12,17.248447,2003,5,28,0,82.1,55.9
15,18.491162,2003,5,29,0,90,64.2
20,18.201541,2003,5,30,0,88.6,62.8
24,17.545305,2003,5,31,0,86.5,54.5
24,16.555078,2003,6,1,0,82.9,61
23,16.125084,2003,6,2,0,78.2,51.9
23,15.996294,2003,6,3,0,83.9,48.3
23,15.463575,2003,6,4,0,80.1,50
22,14.954838,2003,6,5,0,75.5,45.2
21,14.680732,2003,6,6,0,73.5,47.3
21,14.68579,2003,6,7,0,82,51.3
21,14.190353,2003,6,8,0,77.4,51.8
20,15.542422,2003,6,9,0.02,78.1,57.4
20,16.667872,2003,6,10,0.02,79.1,57.9
21,16.099369,2003,6,11,0,80.7,52.9
20,18.397715,2003,6,12,0.01,75.7,50.5
18,16.892783,2003,6,14,0,79,53.2
18,16.652882,2003,6,15,0,85,55.3
17,16.287468,2003,6,16,0,86.3,55.6
17,15.805369,2003,6,17,0,80.4,56.6
16,15.424108,2003,6,18,0,84.1,58.4
16,14.958646,2003,6,19,0,87.1,62.5
14,13.309989,2003,6,22,0,69.6,45.2
14,15.131876,2003,6,23,0.13,74.4,43.2
13,14.144368,2003,6,25,0.11,57.7,36.9
13,13.81348,2003,6,26,0,66.8,43.5
12,13.870527,2003,6,27,0,74.5,49.1
12,13.843676,2003,6,28,0,82.1,55.1
10,11.003341,2003,7,2,0,86.6,54.5
10,10.420506,2003,7,3,0,88.6,55.8
9.3,9.27434,2003,7,5,0,87.8,59.4
8.7,7.757925,2003,7,8,0,92.4,64.5
7.9,6.479946,2003,7,11,0,93.5,68.1
7.3,6.06571,2003,7,12,0,94.4,64
7.1,5.710297,2003,7,13,0,94.8,64.6
6.8,5.374138,2003,7,14,0,95.3,64.3
6.2,3.817279,2003,7,22,0,89.6,61.1
5.3,2.86351,2003,7,28,0,85.6,63.5
4.8,2.492796,2003,8,16,0.03,88.9,55.7
5.2,2.701403,2003,8,22,0.08,83.5,58.3
5.4,6.622447,2003,9,2,0.25,75.6,50.6
2.5,3.629414,2004,4,3,0.52,48.6,32.9
2.6,2.948695,2004,4,28,0,72.8,46.6
3.5,3.179894,2004,5,2,0,67.2,40.5
4.2,3.506657,2004,5,3,0,71.4,45.6
5.1,4.196232,2004,5,4,0,80.1,51.4
6.8,4.692419,2004,5,5,0,78.8,58
7,4.63599,2004,5,6,0,74.5,50.6
7.3,4.766396,2004,5,7,0,72.8,44.4
7.7,5.015559,2004,5,8,0,71.9,46
8,5.318227,2004,5,9,0,75.7,45.9
8.2,5.403655,2004,5,10,0,72.8,47.7
8.2,5.425465,2004,5,11,0,71.1,34.6
8.2,6.198061,2004,5,12,0.07,51.3,31.6
8,5.516567,2004,5,13,0.02,51.3,30.6
8.8,8.398985,2004,6,1,0,74.7,45.6
9.5,8.238488,2004,6,3,0,81.8,53.6
11,8.126673,2004,6,4,0,86,55.7
8.5,7.555836,2004,6,8,0,82.4,56.7
7.9,7.41092,2004,6,9,0,78.9,55.9
8,7.111733,2004,6,13,0,76.9,50.1
7.5,6.924134,2004,6,14,0,84,53.9
6.7,6.855739,2004,6,25,0,81.9,55.7
7.4,6.812399,2004,6,27,0.02,79.4,53.8
7.7,6.132363,2004,6,28,0.01,78.8,53.7
8.1,6.232039,2004,6,29,0.03,76.9,51.3
7.3,2.766947,2004,7,22,0,84.1,57.5
6.2,2.225874,2004,7,30,0,86.9,63.2
5,2.069775,2004,8,1,0,85.7,62
4,1.571595,2004,8,14,0,86.8,60.7
3.7,2.685496,2004,9,3,0.18,82,46.7
3.5,1.756852,2004,10,20,1.05,49.4,37.5
3.5,3.187326,2004,11,8,1.04,50.7,37.4
2.6,1.099096,2005,2,2,0,33.1,17.1
4,3.407962,2005,4,24,0.72,57.3,36.4
4.3,2.683037,2005,4,25,0.41,40.7,33.5
4.7,3.110931,2005,4,26,0.22,47,33.9
5.3,2.478128,2005,4,27,0,56.1,35.6
5.8,3.452811,2005,4,28,0.03,55.8,35.9
6.3,2.629234,2005,4,29,0.03,51.2,32.2
6.8,2.431895,2005,4,30,0.02,51.4,29.6
6.5,3.708306,2005,5,1,0.18,52.2,34.7
7.4,5.311411,2005,5,5,0,64,42.8
7.6,7.106917,2005,5,6,0.07,60.5,35.5
8,7.061768,2005,5,9,0,60.3,39.1
9.2,12.02595,2005,5,16,0,69,41.9
10,43.433579,2005,5,17,0.47,65.8,30.7
10,27.443774,2005,5,18,0.06,56.5,33.7
14,27.463818,2005,5,19,0,69.8,43.9
21,33.714746,2005,5,20,0,74.2,47.4
34,36.658306,2005,5,21,0,76.6,48.1
35,38.141841,2005,5,22,0,71.2,46.1
52,44.681297,2005,5,23,0,79.3,50
91,47.935781,2005,5,24,0,77.8,51.3
76,49.87003,2005,5,25,0,72.7,46.3
97,53.959885,2005,5,27,0.01,70.5,44.7
84,60.696945,2005,5,28,0.04,71.5,47.1
114,61.927895,2005,5,29,0.01,76.3,47.7
106,59.987006,2005,5,30,0,69.2,41.4
91,63.049399,2005,6,1,0,69.7,44.1
104,66.113436,2005,6,2,0,70.8,43.1
93,65.110831,2005,6,3,0.34,58.6,36.5
