runoff_obs,basin_cfs_pred,year,month,day,precip,tmax,tmin
2.7,2.740946,2002,10,1,0.13,57.4,34.6
2.7,3.532807,2002,10,2,0.97,38.4,29.7
2.8,2.233704,2002,10,3,0.04,41.2,31.7
2.8,2.192801,2002,10,4,0,52.9,34
2.6,2.133507,2002,10,5,0,50.5,34.8
2.4,2.336457,2002,10,6,0,59.1,38.7
2.8,2.383597,2002,10,7,0,59.8,39.8
2.5,2.579183,2002,10,8,0,65,42.3
2.4,2.426673,2002,10,9,0,66.7,42.2
2.3,2.289066,2002,10,10,0,67.9,45.3
2.2,2.184266,2002,10,11,0,68.5,48
2.1,2.105192,2002,10,12,0,58.3,31.9
2.1,2.044877,2002,10,13,0,57.7,29
2.1,1.994848,2002,10,14,0,60.1,35.3
2.1,1.953155,2002,10,15,0,63.1,36.1
2,1.916955,2002,10,16,0,64.1,36.2
2,1.885011,2002,10,17,0,61.8,37.6
1.9,1.857062,2002,10,18,0,62.9,35.7
1.9,1.832217,2002,10,19,0,64.4,35.9
1.9,1.809798,2002,10,20,0,64.2,37.2
1.9,1.789321,2002,10,21,0,64.1,36.9
1.8,1.77055,2002,10,22,0,62.8,35.6
1.8,1.753211,2002,10,23,0,60.7,32
1.8,1.737103,2002,10,24,0,53,30.9
1.8,1.722054,2002,10,25,0,55.3,31.9
1.9,2.406207,2002,10,26,0.14,52.8,34.7
1.8,1.861521,2002,10,27,0,45.9,32.8
1.8,1.82427,2002,10,28,0,50.4,32.7
1.7,1.792038,2002,10,29,0,52.9,25.8
1.6,1.763797,2002,10,30,0,44.8,24
1.7,1.738768,2002,10,31,0,47.3,21.5
1.8,1.716359,2002,11,1,0,40.5,9.4
1.8,1.696109,2002,11,2,0,31,9.9
1.8,1.677655,2002,11,3,0,38.7,14.9
1.8,1.66071,2002,11,4,0,38.3,15.7
1.8,1.645042,2002,11,5,0,44.6,22.9
1.6,1.630465,2002,11,6,0,51.1,25.3
1.5,1.616824,2002,11,7,0,56.2,32
1.8,1.681566,2002,11,8,0.05,49.6,35.7
1.7,9.008594,2002,11,9,0.55,45.2,37.4
1.7,2.806315,2002,11,10,0.06,44.7,28.9
1.7,2.82296,2002,11,11,0.16,43.2,26.2
1.7,2.305697,2002,11,12,0,42.3,23.4
1.8,2.138375,2002,11,13,0,50.1,25.8
1.7,2.013856,2002,11,14,0,49.3,27.8
1.7,1.918236,2002,11,15,0,46.7,26.1
