alpha,window_size,rmse
0.1,0.1,5.3350246906
0.1,0.2,4.8182177688
0.1,0.3,4.5133148197
0.1,0.4,4.1904964135
0.1,0.5,4.1188951897
0.1,0.6,4.1275955785
0.1,0.7,4.0467072626
0.1,0.8,4.0337798933
0.1,0.9,3.7682121921
0.2,0.1,5.4729149343
0.2,0.2,4.8240855384
0.2,0.3,4.5576713433
0.2,0.4,4.3237255719
0.2,0.5,4.1635805928
0.2,0.6,4.171122962
0.2,0.7,3.9520089516
0.2,0.8,3.9971947402
0.2,0.9,3.776055824
0.3,0.1,5.8510010749
0.3,0.2,4.7913436762
0.3,0.3,4.4977294588
0.3,0.4,4.2960296273
0.3,0.5,4.2642308604
0.3,0.6,4.0331328641
0.3,0.7,3.9916379387
0.3,0.8,4.0038709579
0.3,0.9,3.974485181
0.4,0.1,5.5400176503
0.4,0.2,4.9706293856
0.4,0.3,4.5297472764
0.4,0.4,4.3149353123
0.4,0.5,4.2618479612
0.4,0.6,4.1635881081
0.4,0.7,4.1386525269
0.4,0.8,4.0679018211
0.4,0.9,4.0824034514
0.5,0.1,5.4623732658
0.5,0.2,4.8072151965
0.5,0.3,4.4664954802
0.5,0.4,4.3276800603
0.5,0.5,4.2342216392
0.5,0.6,4.1650237941
0.5,0.7,3.9746838025
0.5,0.8,4.0533787329
0.5,0.9,4.032678611
0.6,0.1,5.672900733
0.6,0.2,4.6841649036
0.6,0.3,4.5893055036
0.6,0.4,4.3267341589
0.6,0.5,4.2200913038
0.6,0.6,4.2033220554
0.6,0.7,4.0477548205
0.6,0.8,3.9998654473
0.6,0.9,4.0752309774
0.7,0.1,5.5302278892
0.7,0.2,5.0685944035
0.7,0.3,4.4576419414
0.7,0.4,4.3705637738
0.7,0.5,4.1552843314
0.7,0.6,4.10527609
0.7,0.7,4.0544732657
0.7,0.8,3.9984395463
0.7,0.9,3.9664241094
0.8,0.1,5.5136611171
0.8,0.2,4.8829931417
0.8,0.3,4.5045232089
0.8,0.4,4.3173233539
0.8,0.5,4.2213435541
0.8,0.6,4.146650635
0.8,0.7,4.0778786815
0.8,0.8,4.211100953
0.8,0.9,3.8090955554
0.9,0.1,5.5660923739
0.9,0.2,4.6987884968
0.9,0.3,4.4786118659
0.9,0.4,4.3249389433
0.9,0.5,4.1226395698
0.9,0.6,4.0560005007
0.9,0.7,4.0171146472
0.9,0.8,4.0879357132
0.9,0.9,4.1005732907
1,0.1,5.3712777789
1,0.2,4.7360524282
1,0.3,4.5748502721
1,0.4,4.3219767758
1,0.5,4.1714790051
1,0.6,4.132762224
1,0.7,4.1124059977
1,0.8,4.1471882374
1,0.9,3.9487631485
