delta_e,year,month,day,precip,tmax,tmin
-0.0040946,2002,10,1,0.13,57.4,34.6
-0.0832807,2002,10,2,0.97,38.4,29.7
0.0566296,2002,10,3,0.04,41.2,31.7
0.0607199,2002,10,4,0.0,52.9,34.0
0.0466493,2002,10,5,0.0,50.5,34.8
0.0063543,2002,10,6,0.0,59.1,38.7
0.0416403,2002,10,7,0.0,59.8,39.8
-0.0079183,2002,10,8,0.0,65.0,42.3
-0.0026673,2002,10,9,0.0,66.7,42.2
0.0010934,2002,10,10,0.0,67.9,45.3
0.0015734,2002,10,11,0.0,68.5,48.0
-0.0005192,2002,10,12,0.0,58.3,31.9
0.0055123,2002,10,13,0.0,57.7,29.0
0.0105152,2002,10,14,0.0,60.1,35.3
0.0146845,2002,10,15,0.0,63.1,36.1
0.0083045,2002,10,16,0.0,64.1,36.2
0.0114989,2002,10,17,0.0,61.8,37.6
0.0042938,2002,10,18,0.0,62.9,35.7
0.0067783,2002,10,19,0.0,64.4,35.9
0.0090202,2002,10,20,0.0,64.2,37.2
0.0110679,2002,10,21,0.0,64.1,36.9
0.002945,2002,10,22,0.0,62.8,35.6
0.0046789,2002,10,23,0.0,60.7,32.0
0.0062897,2002,10,24,0.0,53.0,30.9
0.0077946,2002,10,25,0.0,55.3,31.9
-0.0506207,2002,10,26,0.14,52.8,34.7
-0.0061521,2002,10,27,0.0,45.9,32.8
-0.002427,2002,10,28,0.0,50.4,32.7
-0.0092038,2002,10,29,0.0,52.9,25.8
-0.0163797,2002,10,30,0.0,44.8,24.0
-0.0038768,2002,10,31,0.0,47.3,21.5
0.0083641,2002,11,1,0.0,40.5,9.4
0.0103891,2002,11,2,0.0,31.0,9.9
0.0122345,2002,11,3,0.0,38.7,14.9
0.013929,2002,11,4,0.0,38.3,15.7
0.0154958,2002,11,5,0.0,44.6,22.9
-0.0030465,2002,11,6,0.0,51.1,25.3
-0.0116824,2002,11,7,0.0,56.2,32.0
0.0118434,2002,11,8,0.05,49.6,35.7
-0.7308594,2002,11,9,0.55,45.2,37.4
-0.1106315,2002,11,10,0.06,44.7,28.9
-0.112296,2002,11,11,0.16,43.2,26.2
-0.0605697,2002,11,12,0.0,42.3,23.4
-0.0338375,2002,11,13,0.0,50.1,25.8
-0.0313856,2002,11,14,0.0,49.3,27.8
-0.0218236,2002,11,15,0.0,46.7,26.1
-0.014284,2002,11,16,0.0,45.5,27.0
-0.0082029,2002,11,17,0.0,53.7,32.3
0.0067992,2002,11,18,0.0,51.1,21.0
0.0009856,2002,11,19,0.0,48.0,24.9
-0.0054567,2002,11,20,0.0,50.0,27.5
-0.0023915,2002,11,21,0.0,54.7,31.3
0.000282,2002,11,22,0.0,58.5,33.9
0.00264,2002,11,23,0.0,59.3,34.0
0.0047406,2002,11,24,0.0,53.0,29.2
-0.9032124,2002,11,25,0.04,48.0,18.6
-0.1152421,2002,11,26,0.0,33.1,19.5
-0.0851488,2002,11,27,0.0,43.6,18.8
-0.0742823,2002,11,28,0.0,41.8,22.5
-0.0491637,2002,11,29,0.0,44.5,23.8
-0.0378136,2002,11,30,0.0,47.6,26.0
-0.0390381,2002,12,1,0.0,43.2,28.8
-0.0420824,2002,12,2,0.0,44.0,24.9
-0.0364498,2002,12,3,0.0,43.1,22.8
-0.0318029,2002,12,4,0.0,44.5,25.3
-0.0279058,2002,12,5,0.0,45.9,25.8
-0.0345894,2002,12,6,0.0,45.4,25.7
-0.0317302,2002,12,7,0.0,42.8,24.3
-0.0292359,2002,12,8,0.0,42.9,22.3
-0.0270366,2002,12,9,0.0,42.1,22.5
-0.0350787,2002,12,10,0.0,44.4,24.7
-0.0333201,2002,12,11,0.0,42.8,21.0
-0.0317278,2002,12,12,0.0,42.5,24.1
-0.0302752,2002,12,13,0.0,46.9,28.5
-0.0389413,2002,12,14,0.0,48.0,30.2
-0.0377085,2002,12,15,0.0,53.4,33.6
-0.0265626,2002,12,16,0.0,44.1,27.9
-0.0902316,2002,12,17,0.38,39.1,26.6
-0.0402174,2002,12,18,0.02,36.6,15.5
-0.0363342,2002,12,19,0.0,31.6,10.0
-0.0336401,2002,12,20,0.0,35.8,16.1
-0.0312968,2002,12,21,0.0,32.6,13.9
-0.0292355,2002,12,22,0.0,34.4,15.9
-0.0274041,2002,12,23,0.19,27.0,17.5
-0.025762,2002,12,24,0.0,24.8,6.7
-0.0242773,2002,12,25,0.0,29.5,8.3
-0.022925,2002,12,26,0.0,30.9,8.2
-0.0216845,2002,12,27,0.0,39.5,15.5
-0.0206406,2002,12,28,0.0,50.1,28.9
-0.0366031,2002,12,29,0.0,49.8,27.7
-0.0365679,2002,12,30,0.0,36.4,15.8
-0.0336269,2002,12,31,0.0,40.2,20.7
-0.0347411,2003,1,1,0.0,38.4,17.0
-0.0339036,2003,1,2,0.0,40.3,19.2
-0.0291095,2003,1,3,0.0,50.4,28.0
-0.0360972,2003,1,4,0.0,55.7,32.5
-0.0341971,2003,1,5,0.0,52.2,30.4
-0.0350668,2003,1,6,0.0,50.1,24.2
-0.0311456,2003,1,7,0.0,44.6,25.2
-0.0242873,2003,1,8,0.0,49.4,27.1
-0.0264815,2003,1,9,0.0,51.2,29.3
-0.1378098,2003,1,10,0.2,47.9,30.4
-0.0522242,2003,1,11,0.03,44.3,29.6
-0.0438332,2003,1,12,0.0,43.3,24.9
-0.0403284,2003,1,13,0.0,45.9,30.7
-0.0373591,2003,1,14,0.0,52.8,30.8
-0.0348109,2003,1,15,0.0,51.7,29.6
-0.0285973,2003,1,16,0.0,45.4,28.0
-0.0266553,2003,1,17,0.0,47.4,26.4
-0.0249352,2003,1,18,0.0,44.9,26.2
-0.0233984,2003,1,19,0.0,48.7,28.2
-0.0220146,2003,1,20,0.0,53.4,29.7
-0.0207615,2003,1,21,0.0,54.4,29.9
-0.0206144,2003,1,22,0.0,48.7,26.9
-0.0195612,2003,1,23,0.0,50.9,30.7
-0.0185892,2003,1,24,0.0,55.3,30.9
-0.017685,2003,1,25,0.0,51.1,29.9
-0.0158407,2003,1,26,0.0,47.6,26.0
-0.0150493,2003,1,27,0.0,53.3,32.6
-0.065058,2003,1,28,0.11,56.4,33.2
