runoff_obs,basin_cfs_pred,year,month,day,precip,tmax,tmin
20,18.201541,2003,5,30,0,88.6,62.8
24,17.545305,2003,5,31,0,86.5,54.5
24,16.555078,2003,6,1,0,82.9,61
23,16.125084,2003,6,2,0,78.2,51.9
23,15.996294,2003,6,3,0,83.9,48.3
23,15.463575,2003,6,4,0,80.1,50
22,14.954838,2003,6,5,0,75.5,45.2
21,14.680732,2003,6,6,0,73.5,47.3
21,14.68579,2003,6,7,0,82,51.3
21,14.190353,2003,6,8,0,77.4,51.8
20,15.542422,2003,6,9,0.02,78.1,57.4
20,16.667872,2003,6,10,0.02,79.1,57.9
21,16.099369,2003,6,11,0,80.7,52.9
20,18.397715,2003,6,12,0.01,75.7,50.5
19,17.293519,2003,6,13,0,78.3,48.7
18,16.892783,2003,6,14,0,79,53.2
18,16.652882,2003,6,15,0,85,55.3
11,8.126673,2004,6,4,0,86,55.7
6.7,6.855739,2004,6,25,0,81.9,55.7
6.8,6.491466,2004,6,26,0.01,81.5,54.8
7.4,6.812399,2004,6,27,0.02,79.4,53.8
7.7,6.132363,2004,6,28,0.01,78.8,53.7
8.1,6.232039,2004,6,29,0.03,76.9,51.3
8.2,5.709707,2004,6,30,0,75.2,51.7
8,5.413749,2004,7,1,0,79.1,55.1
8,5.140198,2004,7,2,0,78,55.6
8,4.905677,2004,7,3,0,78.3,51.8
7.8,4.685992,2004,7,4,0,79.1,51.7
7.7,4.47055,2004,7,5,0,80.2,54
7.7,4.704111,2004,7,6,0.04,77.8,56.6
7.6,4.172447,2004,7,7,0,85,59.1
7.5,3.952245,2004,7,8,0,86.2,59.5
7.4,3.759484,2004,7,9,0,84.5,59.4
7.2,3.584684,2004,7,10,0,83,62.3
7.3,3.414253,2004,7,11,0,83.5,61.9
7.1,3.26019,2004,7,12,0,85.6,61.4
7,3.111614,2004,7,13,0,88.9,63.9
7.1,2.960941,2004,7,14,0,88,66.4
7.4,3.70279,2004,7,15,0.11,84.6,58.7
7.2,6.065432,2004,7,16,0.41,80.3,57.6
6.9,3.27344,2004,7,17,0.03,77.6,58.2
6.6,3.448275,2004,7,18,0.08,77.9,58.1
6.7,2.780249,2004,7,19,0,82.6,57.3
6.7,5.253061,2004,7,20,0.16,81.5,55.2
6.7,3.493647,2004,7,21,0.05,84,54.2
7.3,2.766947,2004,7,22,0,84.1,57.5
6.6,3.076692,2004,7,23,0.05,80.9,58.3
6.2,3.881796,2004,7,24,0.1,82.1,56.5
6.1,2.800482,2004,7,25,0.02,84.6,59.8
5.9,2.548936,2004,7,26,0,82.9,59.6
5.8,2.500527,2004,7,27,0.02,84.8,57.4
5.6,2.535745,2004,7,28,0.03,80.6,56.3
5.8,2.311062,2004,7,29,0,83.7,59.5
6.2,2.225874,2004,7,30,0,86.9,63.2
5.6,2.144001,2004,7,31,0,85.3,64.9
5,2.069775,2004,8,1,0,85.7,62
5.2,3.347929,2004,8,2,0.09,76.9,55.5
4.9,4.250872,2004,8,3,0.18,77.8,52.5
4.9,2.050384,2004,8,4,0,81.9,56.7
5.1,1.991293,2004,8,5,0,83.2,59.9
4.9,1.939089,2004,8,6,0,82.3,59.2
4.9,1.890638,2004,8,7,0,81.7,57.5
4.9,1.846758,2004,8,8,0,85.6,56.4
4.7,1.793875,2004,8,9,0,87.1,58.1
4.7,1.741003,2004,8,10,0,88.5,60.9
4.6,1.692325,2004,8,11,0,89.3,61.1
4.6,1.64932,2004,8,12,0,88.6,63.8
4.5,1.608607,2004,8,13,0,88.1,62.4
5.3,2.478128,2005,4,27,0,56.1,35.6
5.8,3.452811,2005,4,28,0.03,55.8,35.9
6.3,2.629234,2005,4,29,0.03,51.2,32.2
6.8,2.431895,2005,4,30,0.02,51.4,29.6
6.5,3.708306,2005,5,1,0.18,52.2,34.7
6.6,4.876221,2005,5,2,0.15,44.3,34.5
6.5,4.850313,2005,5,3,0.13,52,34.1
6.6,4.80188,2005,5,4,0.01,59.1,36.9
7.4,5.311411,2005,5,5,0,64,42.8
7.6,7.106917,2005,5,6,0.07,60.5,35.5
7.5,5.772854,2005,5,7,0.04,51.5,32
7.6,5.971099,2005,5,8,0.01,54.7,33.7
8,7.061768,2005,5,9,0,60.3,39.1
8.1,12.082056,2005,5,10,0.17,56,32.3
8,8.776089,2005,5,11,0.29,37.8,30.6
8.1,8.05622,2005,5,12,0.07,48.5,30.5
8,8.493996,2005,5,13,0.04,55.4,31
8,9.237553,2005,5,14,0,59,36.5
8,10.418196,2005,5,15,0.04,63.1,40.5
9.2,12.02595,2005,5,16,0,69,41.9
10,43.433579,2005,5,17,0.47,65.8,30.7
10,27.443774,2005,5,18,0.06,56.5,33.7
14,27.463818,2005,5,19,0,69.8,43.9
21,33.714746,2005,5,20,0,74.2,47.4
34,36.658306,2005,5,21,0,76.6,48.1
35,38.141841,2005,5,22,0,71.2,46.1
52,44.681297,2005,5,23,0,79.3,50
91,47.935781,2005,5,24,0,77.8,51.3
76,49.87003,2005,5,25,0,72.7,46.3
53,51.415129,2005,5,26,0,67.8,44
97,53.959885,2005,5,27,0.01,70.5,44.7
84,60.696945,2005,5,28,0.04,71.5,47.1
114,61.927895,2005,5,29,0.01,76.3,47.7
106,59.987006,2005,5,30,0,69.2,41.4
78,62.017809,2005,5,31,0,63.5,40.6
91,63.049399,2005,6,1,0,69.7,44.1
104,66.113436,2005,6,2,0,70.8,43.1
93,65.110831,2005,6,3,0.34,58.6,36.5
105,64.459419,2005,6,4,0.07,60.3,35.1
95,66.163454,2005,6,5,0,66.3,45.1
79,64.604222,2005,6,6,0.01,69.4,45.1
78,61.962068,2005,6,7,0,61.6,38.1
63,60.041006,2005,6,8,0,58.3,34.8
56,57.817134,2005,6,9,0.01,52.2,36.8
50,57.750784,2005,6,10,0.02,55.3,36.8
43,59.665213,2005,6,11,0.14,59.8,40.3
37,58.552476,2005,6,12,0.16,55.9,38.1
38,55.903347,2005,6,13,0,66.9,39.5
40,53.628482,2005,6,14,0,67.9,42.4
51,53.529892,2005,6,15,0,78.2,50
61,52.031584,2005,6,16,0,79,52.9
66,50.96654,2005,6,17,0,74.9,58.8
67,48.692425,2005,6,18,0,72.2,44.2
68,47.488439,2005,6,19,0,70.1,45.1
66,47.415126,2005,6,20,0,76.5,50.5
68,47.459886,2005,6,21,0,82,57
70,47.054848,2005,6,22,0,83.6,60.1
65,49.619889,2005,6,23,0.02,77.7,55
69,48.292127,2005,6,24,0,80.6,53.7
45,45.473399,2005,6,25,0,77.4,51.2
35,44.230096,2005,6,26,0,74.8,51.3
43,40.315682,2005,7,2,0,86.3,60.6
43,38.336886,2005,7,3,0,86.4,55.2
4.3,13.472496,2008,5,17,0,70.8,44.5
4.9,15.017284,2008,5,18,0,77.3,49.2
5.8,16.460679,2008,5,19,0,83.4,54.4
7.2,17.192084,2008,5,20,0,83.6,55.9
8.2,19.83544,2008,5,21,0.03,83.1,42.1
8.3,20.082661,2008,5,22,0.01,51.3,32.7
7.9,19.598304,2008,5,23,0.05,42.7,31.1
7.3,18.703752,2008,5,24,0.18,45.3,30
6.9,18.156727,2008,5,25,0,53.5,31.9
6.7,19.799738,2008,5,26,0.02,51.3,34.9
6.1,18.225935,2008,5,27,0.01,54.3,36.8
5.8,20.305177,2008,5,28,0,62.1,37.6
5.7,19.115654,2008,5,29,0,62.6,38.3
5.6,18.531075,2008,5,30,0,63,38.5
5.6,18.110363,2008,5,31,0,67.2,40.9
5.8,17.655314,2008,6,1,0,73.1,46.1
6.2,17.322484,2008,6,2,0,74.9,46
6.9,16.966162,2008,6,3,0,72.1,45
7.8,18.668898,2008,6,4,0,72,43.3
7.5,17.356588,2008,6,5,0.5,51.5,34.1
7.6,17.659821,2008,6,6,0.03,61.8,38.1
8.1,22.771714,2008,6,7,0.01,74.2,39.5
7.9,19.571688,2008,6,8,0.03,56.3,35.4
7.9,18.925635,2008,6,9,0,63.1,35.6
8.4,19.102177,2008,6,10,0,76.2,44.9
8.7,18.515664,2008,6,11,0,76.5,37.5
8.8,17.718155,2008,6,12,0,60.8,35.1
9.1,17.442871,2008,6,13,0,65.6,36
9.2,17.185779,2008,6,14,0,76.7,45.7
9.3,16.814146,2008,6,15,0,82.8,55
9.5,16.331838,2008,6,16,0,84,56.2
10,15.915634,2008,6,17,0,85.1,57.6
10,15.402418,2008,6,18,0,85.8,57.3
11,14.928713,2008,6,19,0,83,54.2
11,14.366408,2008,6,20,0,82.1,52.9
11,13.940772,2008,6,21,0,84,56.5
11,13.469472,2008,6,22,0,86.5,58.6
10,12.939496,2008,6,23,0,84.2,58.8
10,12.47997,2008,6,24,0,84.2,58
10,12.012617,2008,6,25,0,86.6,58
10,11.522048,2008,6,26,0,83.9,56.7
10,11.066468,2008,6,27,0,84.8,55.6
10,10.624994,2008,6,28,0,84,55.7
10,10.189912,2008,6,29,0,87.3,59
9.8,9.750425,2008,6,30,0,86.8,63.7
9.7,9.304468,2008,7,1,0,87.1,64.5
9.6,8.888502,2008,7,2,0,87.7,62.7
9.5,8.491688,2008,7,3,0,88.5,60.5
9.2,8.144114,2008,7,4,0,90.8,66.3
9.1,7.727994,2008,7,5,0,87,66.5
9,7.393933,2008,7,6,0,86.8,61.8
8.8,7.057705,2008,7,7,0,81.1,57.2
8.6,6.790501,2008,7,8,0,84.5,57.9
8.4,6.502959,2008,7,9,0,85.2,59.4
8.2,6.235321,2008,7,10,0,87.6,61.4
8,5.974944,2008,7,11,0,90.5,63.8
7,9.762068,2009,5,11,0,64.4,39
8.6,11.390906,2009,5,12,0,74.7,43.7
10,12.109096,2009,5,13,0,70,40.6
10,12.110454,2009,5,14,0,55,32.6
11,13.139459,2009,5,15,0,69.3,37.5
10,13.260136,2009,5,16,0,65,40.1
13,14.746422,2009,5,17,0,70.5,43.9
12,16.132309,2009,5,18,0,77.8,50.3
13,18.069424,2009,5,19,0,84.2,54.4
16,17.128464,2009,5,20,0,75.4,53.3
18,17.436715,2009,5,21,0,73.1,47.9
20,17.680971,2009,5,22,0,71.9,44.7
20,36.508685,2009,5,23,0,72.8,50.5
20,35.138698,2009,5,24,0.06,67.9,45.6
19,30.022832,2009,5,25,0.07,64.9,41.3
18,28.747465,2009,5,26,0.04,64,40.5
18,28.150611,2009,5,27,0,67.1,42.7
18,27.439161,2009,5,28,0,71.3,47.2
19,26.64745,2009,5,29,0,75.7,51.4
19,26.00901,2009,5,30,0,75.4,51.6
20,39.702114,2009,5,31,0.08,70.1,47.5
20,31.680658,2009,6,1,0,71.9,48.5
19,33.692052,2009,6,2,0.08,69.2,46.4
19,34.639057,2009,6,3,0,72.6,45.8
19,33.072772,2009,6,4,0,72.2,47.4
18,35.870245,2009,6,5,0.06,70.8,46.8
18,33.619582,2009,6,6,0,63.1,41.2
18,32.656196,2009,6,7,0.01,60.3,37.5
18,32.109278,2009,6,8,0,64.4,39.9
17,30.978476,2009,6,9,0.02,64.7,45
17,32.218963,2009,6,10,0.05,63.9,43.5
17,32.770709,2009,6,11,0.17,61.6,42.4
17,33.036152,2009,6,12,0.15,58,42.4
17,33.794992,2009,6,13,0.11,60.9,43.4
18,31.205816,2009,6,14,0.07,57.7,42.6
18,33.059701,2009,6,15,0.09,63.7,41.2
18,29.452669,2009,6,16,0,66.2,45.3
18,34.057108,2009,6,17,0.28,63.7,44.8
17,31.344709,2009,6,18,0.12,62,42.3
16,28.296206,2009,6,19,0,67.4,43.4
17,27.043543,2009,6,20,0,76.4,48.3
18,30.682122,2009,6,21,0.28,63.9,41.9
18,26.054354,2009,6,22,0,69.2,42.4
18,24.621183,2009,6,23,0,68.9,41.7
18,23.428472,2009,6,24,0,75.8,47.7
18,23.009921,2009,6,25,0,84.1,56.7
17,21.764439,2009,6,26,0.06,78.4,52.6
17,20.432735,2009,6,27,0.06,73.7,51.7
17,19.24235,2009,6,28,0,79.4,52.1
17,18.2839,2009,6,29,0,82.7,55.6
18,17.274847,2009,6,30,0,84.9,60.4
17,16.251462,2009,7,1,0.08,82.7,56.4
16,25.198188,2010,6,4,0,75.7,51.8
17,25.443718,2010,6,5,0,79,51.7
19,25.510572,2010,6,6,0,80.7,52.8
27,26.291347,2010,6,7,0,86.8,57.7
29,25.720422,2010,6,8,0,85,50.3
28,28.370048,2010,6,9,0.02,75.8,48.1
29,28.324735,2010,6,10,0,81.1,53.3
30,27.370168,2010,6,11,0,73.2,40.9
23,26.855833,2010,6,12,0.07,51,39.3
22,26.743162,2010,6,13,0.38,47.5,39.3
19,26.119769,2010,6,14,0.01,55.5,39.3
18,25.68699,2010,6,15,0,68.6,40.4
19,27.315191,2010,6,16,0,75.3,50.4
19,25.25096,2010,6,17,0,67.4,35.8
19,25.090349,2010,6,18,0,69.5,36.1
18,24.98459,2010,6,19,0,75.6,45.6
18,24.142779,2010,6,20,0,75.4,47.6
17,23.571675,2010,6,21,0,75.2,47.3
17,22.769604,2010,6,22,0,73.6,49.1
18,49.721769,2011,6,12,0,72.9,45.5
22,49.791786,2011,6,13,0,69.9,48.7
26,50.606718,2011,6,14,0,72.3,47.6
33,50.994071,2011,6,15,0,75.5,46.7
38,52.588593,2011,6,16,0,80.5,50.4
40,50.710499,2011,6,17,0,70.3,42.4
42,50.531615,2011,6,18,0,67.2,41.4
43,56.364148,2011,6,19,0,73.4,44.8
45,53.954419,2011,6,20,0.26,60.7,39.8
46,52.681354,2011,6,21,0,69.7,41.2
47,52.054029,2011,6,22,0,77.7,46.6
48,52.966784,2011,6,23,0,84.8,55.9
49,51.716837,2011,6,24,0,84.6,57.3
50,50.488302,2011,6,25,0,81.2,54
51,49.630819,2011,6,26,0,80.2,52.3
52,48.253228,2011,6,27,0,78.8,50.3
52,48.65115,2011,6,28,0,83.2,55
52,47.595588,2011,6,29,0,82,61.1
52,46.741025,2011,6,30,0,77.8,54.7
52,44.539938,2011,7,1,0,77.8,51.8
52,43.309813,2011,7,2,0,81.8,53.7
52,43.911005,2011,7,3,0,89.1,58.7
52,43.024101,2011,7,4,0,88.7,62.5
52,50.998456,2011,7,5,0.33,81.1,54.4
52,49.22418,2011,7,6,0.06,80,53.9
50,49.356526,2011,7,7,0.11,77,56.3
49,49.672832,2011,7,8,0.12,76.5,55.8
47,49.770616,2011,7,9,0.02,78.2,54.5
45,46.431845,2011,7,10,0,82.3,55.8
44,43.640796,2011,7,11,0,81.2,53.8
44,41.38158,2011,7,12,0,78.7,54.5
43,39.417785,2011,7,13,0,77.9,56.5
43,37.680889,2011,7,14,0,77.3,56.3
41,35.973514,2011,7,15,0,77,55.4
37,34.391752,2011,7,16,0,76.8,54.5
34,32.921256,2011,7,17,0,77.2,54.8
33,32.376054,2011,7,18,0,83.7,59.4
32,30.700535,2011,7,19,0,83.8,63.8
32,29.523042,2011,7,20,0,84.1,59.3
30,28.21003,2011,7,21,0,84.7,53.3
30,27.320639,2011,7,22,0,85.1,56.2
30,26.030739,2011,7,23,0,84.6,57.3
29,25.097239,2011,7,24,0,84.9,57.2
4.5,4.560622,2012,8,17,0.11,82.8,60.3
4.1,7.307608,2012,8,18,0.21,82.5,60.4
4.1,2.864838,2012,8,19,0,83.4,60.8
4.1,4.911496,2012,8,20,0.21,83.2,55.5
4.2,2.871938,2012,8,21,0,82,56.9
4.2,5.562822,2012,8,22,0.27,79.6,56
4.3,3.08972,2012,8,23,0.01,72.1,55.6
4.2,2.880771,2012,8,24,0,75.4,56
4.3,2.862599,2012,8,25,0,81.5,56.6
4.2,5.456706,2012,8,26,0.15,78.5,54.8
4.1,2.875685,2012,8,27,0,79.8,55
4,2.848335,2012,8,28,0,81.6,56.8
3.9,2.824262,2012,8,29,0,83.7,58.6
3.9,2.798249,2012,8,30,0.03,83.9,60.5
4,2.773229,2012,8,31,0.02,77.1,55.6
4.1,9.517677,2012,9,1,0.3,75.3,53.3
3.8,3.972075,2012,9,2,0.03,73.8,50.7
3.7,3.178076,2012,9,3,0,77,51
3.7,3.126192,2012,9,4,0,80,54.6
3.6,3.074176,2012,9,5,0,81.4,55.2
