runoff_obs,basin_cfs_pred,year,month,day,precip
11.1,20,1970,1,1.04166666667,0
11.7,20,1970,1,1.08333333333,0.47
11.9,19.9,1970,1,1.125,0.59
12.5,19.9,1970,1,1.16666666667,0.72
13.2,19.9,1970,1,1.20833333333,0.9
13.9,19.8,1970,1,1.25,1.15
14.4,19.8,1970,1,1.29166666667,1.2
14.7,19.8,1970,1,1.33333333333,1.2
15.1,19.7,1970,1,1.375,1.2
15.4,19.7,1970,1,1.41666666667,1.2
15.7,19.7,1970,1,1.45833333333,1.2
16.2,19.6,1970,1,1.5,1.2
16.6,19.6,1970,1,1.54166666667,1.2
17,19.6,1970,1,1.58333333333,1.2
17.4,19.5,1970,1,1.625,1.2
17.8,19.5,1970,1,1.66666666667,1.2
18.2,19.5,1970,1,1.70833333333,1.2
18.5,19.4,1970,1,1.75,1.2
18.8,19.4,1970,1,1.79166666667,1.2
19.1,19.4,1970,1,1.83333333333,1.2
19.2,19.3,1970,1,1.875,1.2
19.2,19.3,1970,1,1.91666666667,1.2
19.2,19.3,1970,1,1.95833333333,1.2
19.2,19.2,1970,1,2.0,1.2
19.6,19.2,1970,1,2.04166666667,1.2
19.4,19.2,1970,1,2.08333333333,1.2
19.2,19.1,1970,1,2.125,1.2
19.1,19.1,1970,1,2.16666666667,1.2
19,19.1,1970,1,2.20833333333,1.2
18.9,19,1970,1,2.25,1.2
18.8,19,1970,1,2.29166666667,1.2
18.7,19,1970,1,2.33333333333,1.2
18.6,18.9,1970,1,2.375,1.2
18.5,18.9,1970,1,2.41666666667,1.2
18.4,18.9,1970,1,2.45833333333,1.2
18.3,18.8,1970,1,2.5,1.2
18.2,18.8,1970,1,2.54166666667,1.2
18.1,18.8,1970,1,2.58333333333,1.2
18,18.8,1970,1,2.625,1.2
18,18.7,1970,1,2.66666666667,1.2
17.9,18.7,1970,1,2.70833333333,1.2
17.8,18.7,1970,1,2.75,1.2
17.8,18.6,1970,1,2.79166666667,1.2
17.7,18.6,1970,1,2.83333333333,1.2
17.7,18.6,1970,1,2.875,1.2
17.7,18.5,1970,1,2.91666666667,1.2
17.7,18.5,1970,1,2.95833333333,1.2
17.7,18.5,1970,1,3.0,1.2
17.2,18.4,1970,1,3.04166666667,1.2
17.1,18.4,1970,1,3.08333333333,1.2
16.9,18.4,1970,1,3.125,1.2
16.8,18.3,1970,1,3.16666666667,1.2
16.6,18.3,1970,1,3.20833333333,1.2
16.5,18.3,1970,1,3.25,1.2
16.4,18.2,1970,1,3.29166666667,1.2
16.2,18.2,1970,1,3.33333333333,1.2
16.1,18.2,1970,1,3.375,1.2
15.9,18.2,1970,1,3.41666666667,1.2
15.8,18.1,1970,1,3.45833333333,1.2
15.6,18.1,1970,1,3.5,1.2
15.4,18.1,1970,1,3.54166666667,1.2
15.2,18,1970,1,3.58333333333,1.2
15.1,18,1970,1,3.625,1.2
14.9,18,1970,1,3.66666666667,1.2
14.8,17.9,1970,1,3.70833333333,1.2
14.6,17.9,1970,1,3.75,1.2
14.5,17.9,1970,1,3.79166666667,1.2
14.3,17.8,1970,1,3.83333333333,1.2
14.1,17.8,1970,1,3.875,1.2
14,17.8,1970,1,3.91666666667,1.2
14,17.7,1970,1,3.95833333333,1.2
14,17.7,1970,1,4.0,1.2
13.5,17.7,1970,1,4.04166666667,1.2
13.4,17.7,1970,1,4.08333333333,1.2
13.2,17.6,1970,1,4.125,1.2
13.1,17.6,1970,1,4.16666666667,1.2
13,17.6,1970,1,4.20833333333,1.2
13,17.5,1970,1,4.25,1.2
12.9,17.5,1970,1,4.29166666667,1.2
12.8,17.5,1970,1,4.33333333333,1.2
12.8,17.4,1970,1,4.375,1.2
12.3,17.4,1970,1,4.41666666667,1.2
12.2,17.4,1970,1,4.45833333333,1.2
12.1,17.4,1970,1,4.5,1.2
12,17.3,1970,1,4.54166666667,1.2
11.9,17.3,1970,1,4.58333333333,1.2
11.6,17.3,1970,1,4.625,1.2
11.5,17.2,1970,1,4.66666666667,1.2
11.3,17.2,1970,1,4.70833333333,1.2
11.2,17.2,1970,1,4.75,1.2
11.1,17.1,1970,1,4.79166666667,1.2
11,17.1,1970,1,4.83333333333,1.2
11,17.1,1970,1,4.875,1.2
10.9,17.1,1970,1,4.91666666667,1.2
10.8,17,1970,1,4.95833333333,1.2
10.8,17,1970,1,5.0,1.2
10.6,17,1970,1,5.04166666667,1.2
10.5,16.9,1970,1,5.08333333333,1.2
10.4,16.9,1970,1,5.125,1.2
10.3,16.9,1970,1,5.16666666667,1.2
10.2,16.8,1970,1,5.20833333333,1.2
10.1,16.8,1970,1,5.25,1.2
10.1,16.8,1970,1,5.29166666667,1.2
10,16.8,1970,1,5.33333333333,1.2
9.9,16.7,1970,1,5.375,1.2
9.9,16.7,1970,1,5.41666666667,1.2
9.8,16.7,1970,1,5.45833333333,1.2
9.7,16.6,1970,1,5.5,1.2
9.7,16.6,1970,1,5.54166666667,1.2
