runoff_obs,basin_cfs_pred,year,month,day,precip
11.1,20,1970,1,1.04166666667,0
11.7,19.9,1970,1,1.08333333333,0.47
11.9,19.9,1970,1,1.125,0.59
12.5,19.8,1970,1,1.16666666667,0.72
13.2,19.8,1970,1,1.20833333333,0.9
13.9,20,1970,1,1.25,1.15
14.4,20.6,1970,1,1.29166666667,1.2
14.7,21.6,1970,1,1.33333333333,1.2
15.1,22.7,1970,1,1.375,1.2
15.4,24,1970,1,1.41666666667,1.2
15.7,25.4,1970,1,1.45833333333,1.2
16.2,26.8,1970,1,1.5,1.2
16.6,28.4,1970,1,1.54166666667,1.2
17,30,1970,1,1.58333333333,1.2
17.4,31.7,1970,1,1.625,1.2
17.8,33.3,1970,1,1.66666666667,1.2
18.2,34.8,1970,1,1.70833333333,1.2
18.5,36.1,1970,1,1.75,1.2
18.8,37.3,1970,1,1.79166666667,1.2
19.1,38.2,1970,1,1.83333333333,1.2
19.2,38.9,1970,1,1.875,1.2
19.2,39.4,1970,1,1.91666666667,1.2
19.2,39.7,1970,1,1.95833333333,1.2
19.2,39.7,1970,1,2.0,1.2
19.6,39.4,1970,1,2.04166666667,1.2
19.4,38.7,1970,1,2.08333333333,1.2
19.2,37.8,1970,1,2.125,1.2
19.1,36.9,1970,1,2.16666666667,1.2
19,36.1,1970,1,2.20833333333,1.2
18.9,35.3,1970,1,2.25,1.2
18.8,34.5,1970,1,2.29166666667,1.2
18.7,33.8,1970,1,2.33333333333,1.2
18.6,33,1970,1,2.375,1.2
18.5,32.3,1970,1,2.41666666667,1.2
18.4,31.7,1970,1,2.45833333333,1.2
18.3,31,1970,1,2.5,1.2
18.2,30.4,1970,1,2.54166666667,1.2
18.1,29.8,1970,1,2.58333333333,1.2
18,29.3,1970,1,2.625,1.2
18,28.7,1970,1,2.66666666667,1.2
17.9,28.2,1970,1,2.70833333333,1.2
17.8,27.7,1970,1,2.75,1.2
17.8,27.2,1970,1,2.79166666667,1.2
17.7,26.7,1970,1,2.83333333333,1.2
17.7,26.2,1970,1,2.875,1.2
17.7,25.8,1970,1,2.91666666667,1.2
17.7,25.4,1970,1,2.95833333333,1.2
17.7,25,1970,1,3.0,1.2
17.2,24.6,1970,1,3.04166666667,1.2
17.1,24.2,1970,1,3.08333333333,1.2
16.9,23.8,1970,1,3.125,1.2
16.8,23.5,1970,1,3.16666666667,1.2
16.6,23.1,1970,1,3.20833333333,1.2
16.5,22.8,1970,1,3.25,1.2
16.4,22.5,1970,1,3.29166666667,1.2
16.2,22.1,1970,1,3.33333333333,1.2
16.1,21.8,1970,1,3.375,1.2
15.9,21.6,1970,1,3.41666666667,1.2
15.8,21.3,1970,1,3.45833333333,1.2
15.6,21,1970,1,3.5,1.2
15.4,20.7,1970,1,3.54166666667,1.2
15.2,20.5,1970,1,3.58333333333,1.2
15.1,20.2,1970,1,3.625,1.2
14.9,20,1970,1,3.66666666667,1.2
14.8,19.8,1970,1,3.70833333333,1.2
14.6,19.5,1970,1,3.75,1.2
14.5,19.3,1970,1,3.79166666667,1.2
14.3,19.1,1970,1,3.83333333333,1.2
14.1,18.9,1970,1,3.875,1.2
14,18.7,1970,1,3.91666666667,1.2
14,18.5,1970,1,3.95833333333,1.2
14,18.3,1970,1,4.0,1.2
13.5,18.2,1970,1,4.04166666667,1.2
13.4,18,1970,1,4.08333333333,1.2
13.2,17.8,1970,1,4.125,1.2
13.1,17.6,1970,1,4.16666666667,1.2
13,17.5,1970,1,4.20833333333,1.2
13,17.3,1970,1,4.25,1.2
12.9,17.2,1970,1,4.29166666667,1.2
12.8,17,1970,1,4.33333333333,1.2
12.8,16.9,1970,1,4.375,1.2
12.3,16.7,1970,1,4.41666666667,1.2
12.2,16.6,1970,1,4.45833333333,1.2
12.1,16.5,1970,1,4.5,1.2
12,16.3,1970,1,4.54166666667,1.2
11.9,16.2,1970,1,4.58333333333,1.2
11.6,16.1,1970,1,4.625,1.2
11.5,16,1970,1,4.66666666667,1.2
11.3,15.8,1970,1,4.70833333333,1.2
11.2,15.7,1970,1,4.75,1.2
11.1,15.6,1970,1,4.79166666667,1.2
11,15.5,1970,1,4.83333333333,1.2
11,15.4,1970,1,4.875,1.2
10.9,15.3,1970,1,4.91666666667,1.2
10.8,15.2,1970,1,4.95833333333,1.2
10.8,15.1,1970,1,5.0,1.2
10.6,15,1970,1,5.04166666667,1.2
10.5,14.9,1970,1,5.08333333333,1.2
10.4,14.8,1970,1,5.125,1.2
10.3,14.7,1970,1,5.16666666667,1.2
10.2,14.6,1970,1,5.20833333333,1.2
10.1,14.5,1970,1,5.25,1.2
10.1,14.4,1970,1,5.29166666667,1.2
10,14.3,1970,1,5.33333333333,1.2
9.9,14.3,1970,1,5.375,1.2
9.9,14.2,1970,1,5.41666666667,1.2
9.8,14.1,1970,1,5.45833333333,1.2
9.7,14,1970,1,5.5,1.2
9.7,13.9,1970,1,5.54166666667,1.2
9.7,13.8,1970,1,5.58333333333,1.2
9.7,13.8,1970,1,5.625,1.2
9.7,13.7,1970,1,5.66666666667,1.2
9.7,13.6,1970,1,5.70833333333,1.2
9.7,13.5,1970,1,5.75,1.2
9.7,13.5,1970,1,5.79166666667,1.2
9.7,13.4,1970,1,5.83333333333,1.2
9.7,13.3,1970,1,5.875,1.2
9.7,13.3,1970,1,5.91666666667,1.21
9.7,13.2,1970,1,5.95833333333,1.36
9.7,13.1,1970,1,6.0,1.6
10.2,13.1,1970,1,6.04166666667,1.82
10.8,13,1970,1,6.08333333333,2.06
11.6,13.3,1970,1,6.125,2.33
12.6,14.5,1970,1,6.16666666667,2.66
13.6,17,1970,1,6.20833333333,2.94
14.8,20.9,1970,1,6.25,3.2
16.2,26.8,1970,1,6.29166666667,3.76
18.4,35,1970,1,6.33333333333,4.1
20,45.2,1970,1,6.375,4.27
21.7,57.2,1970,1,6.41666666667,4.47
23.8,71.1,1970,1,6.45833333333,4.71
25.9,86.8,1970,1,6.5,4.87
27.8,104,1970,1,6.54166666667,4.98
30.4,122.2,1970,1,6.58333333333,5.09
32.4,141.2,1970,1,6.625,5.19
34.3,160.3,1970,1,6.66666666667,5.2
36.2,179.1,1970,1,6.70833333333,5.2
37.8,197,1970,1,6.75,5.2
39.3,213.6,1970,1,6.79166666667,5.2
40.7,228.5,1970,1,6.83333333333,5.2
42,241.6,1970,1,6.875,5.2
43.4,252.3,1970,1,6.91666666667,5.2
44.6,260.1,1970,1,6.95833333333,5.2
45.2,264.9,1970,1,7.0,5.2
46.1,267.1,1970,1,7.04166666667,5.2
46.6,266.6,1970,1,7.08333333333,5.2
46.8,263.7,1970,1,7.125,5.2
46.5,259.1,1970,1,7.16666666667,5.2
46.1,253.2,1970,1,7.20833333333,5.2
46,246.4,1970,1,7.25,5.2
45.7,238.7,1970,1,7.29166666667,5.2
45.5,230.7,1970,1,7.33333333333,5.2
45.3,222.4,1970,1,7.375,5.2
45,214,1970,1,7.41666666667,5.2
44.7,205.7,1970,1,7.45833333333,5.2
45.2,197.7,1970,1,7.5,5.2
44.7,190.1,1970,1,7.54166666667,5.2
44.8,182.7,1970,1,7.58333333333,5.2
44.6,175.7,1970,1,7.625,5.2
45.2,168.9,1970,1,7.66666666667,5.2
44.4,162.4,1970,1,7.70833333333,5.2
45.2,156.2,1970,1,7.75,5.2
45.2,150.2,1970,1,7.79166666667,5.2
45.2,144.5,1970,1,7.83333333333,5.2
45.2,139,1970,1,7.875,5.2
45.2,133.7,1970,1,7.91666666667,5.2
45.2,128.6,1970,1,7.95833333333,5.2
45.2,123.8,1970,1,8.0,5.2
45.2,119.1,1970,1,8.04166666667,5.2
44.1,114.6,1970,1,8.08333333333,5.2
43.8,110.3,1970,1,8.125,5.2
43.4,106.2,1970,1,8.16666666667,5.2
42.9,102.3,1970,1,8.20833333333,5.2
42.3,98.5,1970,1,8.25,5.2
41.7,94.8,1970,1,8.29166666667,5.2
41.1,91.3,1970,1,8.33333333333,5.2
40.5,88,1970,1,8.375,5.2
39.8,84.8,1970,1,8.41666666667,5.2
39.1,81.7,1970,1,8.45833333333,5.2
38.4,78.7,1970,1,8.5,5.2
37.6,75.9,1970,1,8.54166666667,5.2
36.8,73.1,1970,1,8.58333333333,5.2
35.9,70.5,1970,1,8.625,5.2
35.3,68,1970,1,8.66666666667,5.2
34.6,65.6,1970,1,8.70833333333,5.2
33.9,63.3,1970,1,8.75,5.2
33.1,61.1,1970,1,8.79166666667,5.2
32.3,58.9,1970,1,8.83333333333,5.2
32.4,56.9,1970,1,8.875,5.2
31,54.9,1970,1,8.91666666667,5.2
30.2,53,1970,1,8.95833333333,5.2
29.7,51.2,1970,1,9.0,5.2
29.1,49.5,1970,1,9.04166666667,5.2
28.4,47.8,1970,1,9.08333333333,5.2
27.8,46.2,1970,1,9.125,5.2
27.1,44.7,1970,1,9.16666666667,5.2
26.4,43.2,1970,1,9.20833333333,5.2
25.6,41.8,1970,1,9.25,5.2
24.7,40.4,1970,1,9.29166666667,5.2
24.1,39.1,1970,1,9.33333333333,5.2
23.9,37.8,1970,1,9.375,5.2
23.8,36.6,1970,1,9.41666666667,5.2
23.6,35.5,1970,1,9.45833333333,5.2
22.6,34.4,1970,1,9.5,5.2
22.2,33.3,1970,1,9.54166666667,5.2
21.8,32.3,1970,1,9.58333333333,5.2
21.5,31.3,1970,1,9.625,5.2
21.1,30.3,1970,1,9.66666666667,5.2
20.6,29.4,1970,1,9.70833333333,5.2
20.2,28.6,1970,1,9.75,5.2
20,27.7,1970,1,9.79166666667,5.2
19.8,26.9,1970,1,9.83333333333,5.2
19.5,26.1,1970,1,9.875,5.2
19.3,25.4,1970,1,9.91666666667,5.2
19.2,24.7,1970,1,9.95833333333,5.2
19.2,24,1970,1,10.0,5.2
18.6,23.3,1970,1,10.0416666667,5.2
18.3,22.7,1970,1,10.0833333333,5.2
18.1,22.1,1970,1,10.125,5.2
18,21.5,1970,1,10.1666666667,5.2
17.9,20.9,1970,1,10.2083333333,5.2
17.7,20.4,1970,1,10.25,5.2
16.7,19.9,1970,1,10.2916666667,5.2
16.3,19.4,1970,1,10.3333333333,5.2
16.6,18.9,1970,1,10.375,5.2
17.1,18.4,1970,1,10.4166666667,5.2
16.7,18,1970,1,10.4583333333,5.2
16.5,17.6,1970,1,10.5,5.2
16.7,17.2,1970,1,10.5416666667,5.2
16.9,16.8,1970,1,10.5833333333,5.2
17.1,16.4,1970,1,10.625,5.2
17,16,1970,1,10.6666666667,5.2
16.8,15.7,1970,1,10.7083333333,5.2
16.7,15.3,1970,1,10.75,5.2
16.7,15,1970,1,10.7916666667,5.2
16.7,14.7,1970,1,10.8333333333,5.2
16.7,14.4,1970,1,10.875,5.2
16.7,14.1,1970,1,10.9166666667,5.2
16.7,13.8,1970,1,10.9583333333,5.2
16.7,13.5,1970,1,11.0,5.2
16.7,13.3,1970,1,11.0416666667,5.2
16.6,13,1970,1,11.0833333333,5.2
16.5,12.8,1970,1,11.125,5.2
16.5,12.5,1970,1,11.1666666667,5.2
16.4,12.3,1970,1,11.2083333333,5.2
16.3,12.1,1970,1,11.25,5.2
16.3,11.9,1970,1,11.2916666667,5.2
16.3,11.7,1970,1,11.3333333333,5.2
16.4,11.5,1970,1,11.375,5.2
16.5,11.3,1970,1,11.4166666667,5.2
16.6,11.1,1970,1,11.4583333333,5.2
16.7,10.9,1970,1,11.5,5.2
16.8,10.8,1970,1,11.5416666667,5.2
16.9,10.6,1970,1,11.5833333333,5.2
17,10.4,1970,1,11.625,5.2
17.1,10.3,1970,1,11.6666666667,5.2
17.2,10.1,1970,1,11.7083333333,5.3
18.1,10,1970,1,11.75,5.6
18.5,9.9,1970,1,11.7916666667,5.6
18.8,9.7,1970,1,11.8333333333,5.6
19.1,9.4,1970,1,11.875,5.6
19.4,9,1970,1,11.9166666667,5.6
19.7,8.8,1970,1,11.9583333333,5.6
19.7,8.5,1970,1,12.0,5.6
20.5,8,1970,1,12.0416666667,5.6
20.8,7.8,1970,1,12.0833333333,5.6
21.1,7.7,1970,1,12.125,5.6
21.4,7.5,1970,1,12.1666666667,5.6
21.6,7.3,1970,1,12.2083333333,5.6
21.9,7.2,1970,1,12.25,5.6
22.2,7.1,1970,1,12.2916666667,5.6
22.4,7,1970,1,12.3333333333,5.6
22.6,6.9,1970,1,12.375,5.6
22.8,6.9,1970,1,12.4166666667,5.6
23,6.8,1970,1,12.4583333333,5.6
23.1,6.8,1970,1,12.5,5.6
23.2,6.8,1970,1,12.5416666667,5.7
23.3,6.8,1970,1,12.5833333333,6.0
23.4,6.7,1970,1,12.625,6.0
23.5,6.7,1970,1,12.6666666667,6.0
23.3,6.7,1970,1,12.7083333333,6.0
23.6,6.6,1970,1,12.75,6.0
23.6,6.6,1970,1,12.7916666667,6.0
23.6,6.6,1970,1,12.8333333333,6.0
23.6,6.6,1970,1,12.875,6.0
23.6,6.5,1970,1,12.9166666667,6.0
23.6,6.5,1970,1,12.9583333333,6.0
23.6,6.5,1970,1,13.0,6.0
23.5,6.5,1970,1,13.0416666667,6.0
23.4,6.4,1970,1,13.0833333333,6.0
23.4,6.4,1970,1,13.125,6.0
23.3,6.4,1970,1,13.1666666667,6.0
23.3,6.4,1970,1,13.2083333333,6.0
23.2,6.3,1970,1,13.25,6.0
23.2,6.3,1970,1,13.2916666667,6.0
23.1,6.3,1970,1,13.3333333333,6.0
23.1,6.3,1970,1,13.375,6.0
23,6.2,1970,1,13.4166666667,6.0
22.9,6.2,1970,1,13.4583333333,6.0
22.9,6.2,1970,1,13.5,6.0
22.8,6.2,1970,1,13.5416666667,6.0
22.7,6.1,1970,1,13.5833333333,6.0
22.6,6.1,1970,1,13.625,6.0
22.5,6.1,1970,1,13.6666666667,6.0
22.5,6.1,1970,1,13.7083333333,6.0
22.4,6,1970,1,13.75,6.0
