time,lower,upper,prediction,ground_truth
1970--4--10.0416666667,23.1553055962,39.505699143,36.4030848065,37.4
1970--4--10.0833333333,23.4487282,39.2961849083,36.1911741358,37.3
1970--4--10.125,23.7178806961,39.085819633,35.9915294403,37.3
1970--4--10.1666666667,24.0658205539,38.9747610037,35.8856398127,37.2
1970--4--10.2083333333,24.2946350803,38.762576768,35.6861388814,37.2
1970--4--10.25,24.6066915851,38.6496186128,35.5871187614,37.1
1970--4--10.2916666667,24.8034536017,38.4354433581,35.3878493728,37.1
1970--4--10.3333333333,25.0865668195,38.3204188698,35.282326308,37.0
1970--4--10.375,25.256682477,38.104143539,35.083319522,37.0
1970--4--10.4166666667,25.4150030354,37.8870055125,34.8847927092,36.9
1970--4--10.4583333333,25.6619847051,37.7688209415,34.7862553698,36.9
1970--4--10.5,25.7978258447,37.5496592875,35.3703253772,36.8
1970--4--10.5416666667,26.0220079239,37.429706214,35.2673586066,36.8
1970--4--10.5833333333,26.1366004731,37.2087552006,35.0646806027,36.7
1970--4--10.625,26.3422024736,37.0867933213,34.9622852834,36.7
1970--4--10.6666666667,26.4383336388,36.8639903756,34.7601667418,36.7
1970--4--10.7083333333,26.6234194811,36.740979992,34.6587934291,36.6
1970--4--10.75,26.6964571041,36.5176482841,34.4569724353,36.6
1970--4--10.7916666667,26.8565718823,36.3948311649,34.3561186218,36.6
1970--4--10.8333333333,26.9016135067,36.1729619548,34.1552807206,36.6
1970--4--10.875,27.026386525,36.0536616788,34.055157241,36.6
1970--4--10.9166666667,27.0442764729,35.8341219366,33.1809650491,36.6
1970--4--10.9583333333,27.0532821944,35.6151360597,32.9835985884,36.6
1970--4--11,27.1549672786,35.496485154,32.8864339678,36.6
1970--4--11.0416666667,27.2461598552,35.3787880176,32.7892505911,36.4
1970--4--11.0833333333,27.235315209,35.1596339157,32.5889093265,36.1
1970--4--11.125,27.31771354,35.0402145247,32.4912794686,36.0
1970--4--11.1666666667,27.294961362,34.8204655676,32.2937419251,36.2
1970--4--11.2083333333,27.3666306525,34.7015918928,32.1970587975,36.4
1970--4--11.25,27.331701045,34.4837228864,31.9977317136,36.6
1970--4--11.2916666667,27.3899248356,34.367328426,31.9018213457,36.1
1970--4--11.3333333333,27.3400706613,34.150701044,31.7045483356,36.5
