time,lower,upper,prediction,ground_truth
1970--4--28.7916666667,-4.68907135482,7.94878484506,2.15057623716,1.98
1970--4--28.8333333333,-4.68342400741,7.89983617884,2.1490888715,1.95
1970--4--28.875,-4.67140806026,7.84799875369,1.7013479321,1.92
1970--4--28.9166666667,-4.65095577433,7.79238886237,1.70281405421,1.89
1970--4--28.9583333333,-4.61435823203,7.72970139637,1.69616172053,1.86
1970--4--29,-4.56110522369,7.65989970888,1.69719044322,1.86
1970--4--29.0416666667,-4.4949347673,7.58486269149,1.69843540752,1.8
1970--4--29.0833333333,-4.39416054394,7.49520570483,1.6987455125,1.74
1970--4--29.125,-4.26632596191,7.39390734719,1.69162541611,1.71
1970--4--29.1666666667,-4.11357403821,7.28172244597,1.69153794067,1.71
1970--4--29.2083333333,-3.92933452202,7.15574926403,1.69167484131,1.68
1970--4--29.25,-3.72903599836,7.02119377893,1.69136837629,1.68
1970--4--29.2916666667,-3.50725503938,6.87541701118,1.68513216977,1.65
1970--4--29.3333333333,-3.26272702621,6.71673924177,1.68465776657,1.65
1970--4--29.375,-3.02129009682,6.55576809242,1.68440712122,1.62
1970--4--29.4166666667,-2.78285257997,6.39221514271,1.68373085172,1.62
1970--4--29.4583333333,-2.54246110678,6.22391461791,1.67790077363,1.59
1970--4--29.5,-2.29592459645,6.0482483194,1.67706355467,1.59
1970--4--29.5416666667,-2.06108140231,5.87424964626,1.67644915303,1.59
1970--4--29.5833333333,-1.84430983965,5.70593539199,1.67584336229,1.59
1970--4--29.625,-1.64111387828,5.54167992815,1.67060731318,1.44
1970--4--29.6666666667,-1.4560823471,5.38358786946,1.66798528487,1.41
1970--4--29.7083333333,-1.28358122031,5.23014490706,1.66601736309,1.38
1970--4--29.75,-1.12892286382,5.08536555941,1.66387628138,1.26
1970--4--29.7916666667,-0.989808505978,4.94781530353,1.65617443406,1.23
1970--4--29.8333333333,-0.861836948644,4.81603488091,1.65312969949,1.2
1970--4--29.875,-0.744692264866,4.69030340027,1.64993195469,1.17
1970--4--29.9166666667,-0.635738152528,4.56917754727,1.64658477951,1.14
1970--4--29.9583333333,-0.537096417493,4.4545792038,1.63949219353,1.11
1970--4--30,-0.446397267365,4.34511584846,1.63585472643,1.08
1970--4--30.0416666667,-0.350679123925,4.23096330905,1.63207697936,1.05
1970--4--30.0833333333,-0.272990205723,4.1302964881,1.62816217508,1.05
1970--4--30.125,-0.198668481872,4.032141959,1.6212445181,1.02
1970--4--30.1666666667,-0.130057596886,3.93825556902,1.6172381016,1.02
1970--4--30.2083333333,-0.0667192957368,3.84876841475,1.61346560875,0.99
1970--4--30.25,-0.00556539116506,3.76083773446,1.60937724691,0.99
1970--4--30.2916666667,0.0520695611464,3.67602680656,1.60242142298,0.96
1970--4--30.3333333333,0.105698803964,3.59454095041,1.59824616159,0.96
1970--4--30.375,0.157380624955,3.51494727755,1.59430144254,0.99
1970--4--30.4166666667,0.205889208879,3.43876954298,1.59076105799,0.96
1970--4--30.4583333333,0.253469951578,3.36330119302,1.58376912586,0.96
1970--4--30.5,0.297384266883,3.29150429074,72.7352048443,0.87
1970--4--30.5416666667,0.337708806083,3.22233116691,0.87,0.84
1970--4--30.5833333333,0.375287994619,3.15573591002,0.839999999998,0.81
1970--4--30.625,0.408586682674,3.09328608967,0.820011657723,0.78
1970--4--30.6666666667,0.438950726348,3.03371412063,0.790011661805,0.69
1970--4--30.7083333333,0.463906839944,2.97882002636,0.742667343176,0.69
1970--4--30.75,0.48628093456,2.92693366951,0.732159732793,0.66
1970--4--30.7916666667,0.506746684707,2.8769913774,0.696113641063,0.63
1970--4--30.8333333333,0.524010458781,2.83037794337,0.680151998046,0.63
