runoff_obs,basin_cfs_pred,year,month,day,precip
17.9,17.0,1970,2,13.7916666667,16.0
17.9,17.0,1970,2,13.8333333333,16.0
17.8,16.9,1970,2,13.875,16.0
17.8,16.8,1970,2,13.9166666667,16.0
17.7,16.7,1970,2,13.9583333333,16.0
17.7,16.7,1970,2,14.0,16.0
17.6,16.6,1970,2,14.0416666667,16.0
17.6,16.5,1970,2,14.0833333333,16.0
17.5,16.5,1970,2,14.125,16.0
17.5,16.4,1970,2,14.1666666667,16.0
17.4,16.3,1970,2,14.2083333333,16.0
17.4,16.3,1970,2,14.25,16.0
17.3,16.2,1970,2,14.2916666667,16.0
17.3,16.1,1970,2,14.3333333333,16.0
17.2,16.0,1970,2,14.375,16.0
17.2,16.0,1970,2,14.4166666667,16.0
17.2,15.9,1970,2,14.4583333333,16.0
17.2,15.8,1970,2,14.5,16.0
17.2,15.8,1970,2,14.5416666667,16.0
17.2,15.7,1970,2,14.5833333333,16.0
17.2,15.6,1970,2,14.625,16.0
17.2,15.6,1970,2,14.6666666667,16.0
17.2,15.5,1970,2,14.7083333333,16.0
17.2,15.4,1970,2,14.75,16.0
17.2,15.4,1970,2,14.7916666667,16.0
17.2,15.3,1970,2,14.8333333333,16.0
17.2,15.2,1970,2,14.875,16.0
17.2,15.2,1970,2,14.9166666667,16.0
17.2,15.1,1970,2,14.9583333333,16.0
17.2,15.0,1970,2,15.0,16.0
16.7,15.0,1970,2,15.0416666667,16.0
16.6,14.9,1970,2,15.0833333333,16.0
16.6,14.8,1970,2,15.125,16.0
16.5,14.8,1970,2,15.1666666667,16.0
16.5,14.7,1970,2,15.2083333333,16.0
16.4,14.7,1970,2,15.25,16.0
16.4,14.6,1970,2,15.2916666667,16.0
16.3,14.5,1970,2,15.3333333333,16.0
16.3,14.5,1970,2,15.375,16.0
16.2,14.4,1970,2,15.4166666667,16.0
16.2,14.3,1970,2,15.4583333333,16.0
16.2,14.3,1970,2,15.5,16.0
16.1,14.2,1970,2,15.5416666667,16.0
16.1,14.1,1970,2,15.5833333333,16.0
16.1,14.1,1970,2,15.625,16.0
16.0,14.0,1970,2,15.6666666667,16.0
16.0,14.0,1970,2,15.7083333333,16.0
16.0,13.9,1970,2,15.75,16.0
15.9,13.8,1970,2,15.7916666667,16.0
15.9,13.8,1970,2,15.8333333333,16.0
15.9,13.7,1970,2,15.875,16.0
15.8,13.7,1970,2,15.9166666667,16.0
15.8,13.6,1970,2,15.9583333333,16.0
15.8,13.5,1970,2,16.0,16.0
15.9,13.5,1970,2,16.0416666667,16.0
16.0,13.4,1970,2,16.0833333333,16.0
16.1,13.4,1970,2,16.125,16.0
16.2,13.3,1970,2,16.1666666667,16.0
18.2,13.5,1970,2,16.2083333333,16.97
25.3,14.2,1970,2,16.25,18.17
32.4,15.7,1970,2,16.2916666667,19.26
38.1,18.3,1970,2,16.3333333333,19.79
45.2,21.6,1970,2,16.375,20.04
52.9,25.4,1970,2,16.4166666667,20.23
58.1,29.7,1970,2,16.4583333333,20.39
60.8,34.2,1970,2,16.5,20.4
62.2,39.1,1970,2,16.5416666667,20.4
63.1,44.1,1970,2,16.5833333333,20.4
64.2,49.3,1970,2,16.625,20.4
67.3,54.4,1970,2,16.6666666667,20.4
73.0,59.3,1970,2,16.7083333333,20.4
81.3,63.7,1970,2,16.75,20.4
87.0,67.5,1970,2,16.7916666667,20.4
89.7,70.7,1970,2,16.8333333333,20.4
87.4,73.4,1970,2,16.875,20.42
85.7,75.4,1970,2,16.9166666667,20.44
83.9,76.7,1970,2,16.9583333333,20.45
82.4,77.2,1970,2,17.0,20.48
80.3,76.8,1970,2,17.0416666667,20.74
78.7,75.5,1970,2,17.0833333333,20.88
77.3,73.4,1970,2,17.125,20.96
75.9,70.9,1970,2,17.1666666667,21.02
74.9,68.5,1970,2,17.2083333333,21.1
75.7,66.6,1970,2,17.25,21.33
78.9,65.2,1970,2,17.2916666667,22.0
79.8,64.4,1970,2,17.3333333333,22.0
81.1,63.8,1970,2,17.375,22.0
83.1,63.5,1970,2,17.4166666667,22.0
84.8,63.5,1970,2,17.4583333333,22.0
85.4,63.6,1970,2,17.5,22.0
85.7,63.9,1970,2,17.5416666667,22.2
85.4,64.5,1970,2,17.5833333333,22.4
85.1,65.2,1970,2,17.625,22.4
84.8,66.0,1970,2,17.6666666667,22.4
84.5,66.8,1970,2,17.7083333333,22.4
84.3,67.3,1970,2,17.75,22.4
84.0,67.8,1970,2,17.7916666667,22.4
83.7,68.1,1970,2,17.8333333333,22.4
83.3,68.2,1970,2,17.875,22.4
82.5,68.2,1970,2,17.9166666667,22.4
81.7,67.9,1970,2,17.9583333333,22.4
81.3,67.4,1970,2,18.0,22.4
80.0,66.5,1970,2,18.0416666667,22.4
79.1,65.1,1970,2,18.0833333333,22.4
78.2,63.5,1970,2,18.125,22.4
77.4,61.9,1970,2,18.1666666667,22.4
76.4,60.4,1970,2,18.2083333333,22.4
75.4,58.9,1970,2,18.25,22.4
74.5,57.5,1970,2,18.2916666667,22.4
73.5,56.1,1970,2,18.3333333333,22.4
72.4,54.7,1970,2,18.375,22.4
71.2,53.4,1970,2,18.4166666667,22.4
70.1,52.1,1970,2,18.4583333333,22.4
68.9,50.9,1970,2,18.5,22.4
67.7,49.7,1970,2,18.5416666667,22.4
66.6,48.6,1970,2,18.5833333333,22.4
65.5,47.5,1970,2,18.625,22.4
64.5,46.4,1970,2,18.6666666667,22.4
63.3,45.5,1970,2,18.7083333333,22.4
62.4,44.5,1970,2,18.75,22.4
61.5,43.6,1970,2,18.7916666667,22.4
60.4,42.7,1970,2,18.8333333333,22.4
59.5,41.9,1970,2,18.875,22.4
58.5,41.1,1970,2,18.9166666667,22.4
57.3,40.4,1970,2,18.9583333333,22.4
56.6,39.6,1970,2,19.0,22.4
55.4,38.9,1970,2,19.0416666667,22.4
54.4,38.3,1970,2,19.0833333333,22.4
53.5,37.6,1970,2,19.125,22.4
52.6,37.0,1970,2,19.1666666667,22.4
51.6,36.4,1970,2,19.2083333333,22.4
50.7,35.9,1970,2,19.25,22.4
49.9,35.4,1970,2,19.2916666667,22.4
49.0,34.8,1970,2,19.3333333333,22.4
48.1,34.3,1970,2,19.375,22.4
47.3,33.9,1970,2,19.4166666667,22.4
46.4,33.4,1970,2,19.4583333333,22.4
45.6,33.0,1970,2,19.5,22.4
44.9,32.6,1970,2,19.5416666667,22.4
44.2,32.2,1970,2,19.5833333333,22.4
43.6,31.8,1970,2,19.625,22.4
42.8,31.4,1970,2,19.6666666667,22.4
42.2,31.1,1970,2,19.7083333333,22.4
41.6,30.7,1970,2,19.75,22.4
41.0,30.4,1970,2,19.7916666667,22.4
40.4,30.1,1970,2,19.8333333333,22.4
39.8,29.8,1970,2,19.875,22.4
39.3,29.5,1970,2,19.9166666667,22.4
38.8,29.3,1970,2,19.9583333333,22.4
38.1,29.0,1970,2,20.0,22.4
37.4,28.7,1970,2,20.0416666667,22.4
36.9,28.5,1970,2,20.0833333333,22.4
36.5,28.3,1970,2,20.125,22.4
36.1,28.0,1970,2,20.1666666667,22.4
35.7,27.8,1970,2,20.2083333333,22.4
35.3,27.6,1970,2,20.25,22.4
34.8,27.4,1970,2,20.2916666667,22.4
34.4,27.2,1970,2,20.3333333333,22.4
33.9,27.0,1970,2,20.375,22.4
33.5,26.8,1970,2,20.4166666667,22.4
33.1,26.7,1970,2,20.4583333333,22.4
32.7,26.5,1970,2,20.5,22.4
32.2,26.3,1970,2,20.5416666667,22.4
31.7,26.2,1970,2,20.5833333333,22.4
31.4,26.0,1970,2,20.625,22.4
31.1,25.9,1970,2,20.6666666667,22.4
30.8,25.7,1970,2,20.7083333333,22.4
30.4,25.6,1970,2,20.75,22.4
30.1,25.5,1970,2,20.7916666667,22.4
29.8,25.3,1970,2,20.8333333333,22.4
29.5,25.2,1970,2,20.875,22.4
29.2,25.1,1970,2,20.9166666667,22.4
29.1,25.0,1970,2,20.9583333333,22.4
29.1,24.9,1970,2,21.0,22.4
28.2,24.8,1970,2,21.0416666667,22.4
27.9,24.6,1970,2,21.0833333333,22.4
27.5,24.5,1970,2,21.125,22.4
27.2,24.4,1970,2,21.1666666667,22.4
26.9,24.3,1970,2,21.2083333333,22.4
26.7,24.2,1970,2,21.25,22.4
26.4,24.1,1970,2,21.2916666667,22.4
26.1,24.1,1970,2,21.3333333333,22.4
25.9,24.0,1970,2,21.375,22.4
25.6,23.9,1970,2,21.4166666667,22.4
25.4,23.8,1970,2,21.4583333333,22.4
25.1,23.7,1970,2,21.5,22.4
24.9,23.6,1970,2,21.5416666667,22.4
24.7,23.5,1970,2,21.5833333333,22.4
24.5,23.4,1970,2,21.625,22.4
24.3,23.4,1970,2,21.6666666667,22.4
24.1,23.3,1970,2,21.7083333333,22.4
23.9,23.2,1970,2,21.75,22.4
23.8,23.1,1970,2,21.7916666667,22.4
23.6,23.0,1970,2,21.8333333333,22.4
23.6,23.0,1970,2,21.875,22.4
23.6,22.9,1970,2,21.9166666667,22.4
23.6,22.7,1970,2,21.9583333333,22.4
23.6,22.6,1970,2,22.0,22.4
22.9,22.2,1970,2,22.0416666667,22.4
22.8,22.2,1970,2,22.0833333333,22.4
22.7,22.1,1970,2,22.125,22.4
22.6,22.1,1970,2,22.1666666667,22.4
22.5,22.0,1970,2,22.2083333333,22.4
22.4,22.0,1970,2,22.25,22.4
22.3,21.9,1970,2,22.2916666667,22.4
22.2,21.9,1970,2,22.3333333333,22.4
22.2,21.8,1970,2,22.375,22.4
22.1,21.7,1970,2,22.4166666667,22.4
22.0,21.7,1970,2,22.4583333333,22.4
