delta_e,year,month,day,precip,tmax,tmin
-0.23809639999999999,2002,10,1,0.13,57.4,34.6
-0.06831759999999996,2002,10,2,0.97,38.4,29.7
0.0006501999999999342,2002,10,3,0.04,41.2,31.7
0.03985699999999995,2002,10,4,0.0,52.9,34.0
0.032088000000000075,2002,10,5,0.0,50.5,34.8
0.017213600000000006,2002,10,6,0.0,59.1,38.7
0.118626,2002,10,7,0.0,59.8,39.8
0.07227139999999999,2002,10,8,0.0,65.0,42.3
0.06517019999999994,2002,10,9,0.0,66.7,42.2
0.056369599999999936,2002,10,10,0.0,67.9,45.3
0.046133200000000055,2002,10,11,0.0,68.5,48.0
0.04385699999999999,2002,10,12,0.0,58.3,31.9
0.051733200000000014,2002,10,13,0.0,57.7,29.0
0.057408400000000005,2002,10,14,0.0,60.1,35.3
0.06099640000000002,2002,10,15,0.0,63.1,36.1
0.04515980000000002,2002,10,16,0.0,64.1,36.2
0.05069160000000004,2002,10,17,0.0,61.8,37.6
0.03394660000000003,2002,10,18,0.0,62.9,35.7
0.03625459999999996,2002,10,19,0.0,64.4,35.9
0.03819199999999996,2002,10,20,0.0,64.2,37.2
0.04142440000000001,2002,10,21,0.0,64.1,36.9
0.024333399999999995,2002,10,22,0.0,62.8,35.6
0.027363800000000008,2002,10,23,0.0,60.7,32.0
0.030106600000000053,2002,10,24,0.0,53.0,30.9
0.031835000000000016,2002,10,25,0.0,55.3,31.9
-0.0364306,2002,10,26,0.14,52.8,34.7
0.03497919999999999,2002,10,27,0.0,45.9,32.8
0.036575400000000036,2002,10,28,0.0,50.4,32.7
0.01815720000000001,2002,10,29,0.0,52.9,25.8
-0.0002736000000000072,2002,10,30,0.0,44.8,24.0
0.021282200000000008,2002,10,31,0.0,47.3,21.5
0.042824799999999996,2002,11,1,0.0,40.5,9.4
0.0443552,2002,11,2,0.0,31.0,9.9
0.0458726,2002,11,3,0.0,38.7,14.9
0.047377799999999984,2002,11,4,0.0,38.3,15.7
0.048870600000000014,2002,11,5,0.0,44.6,22.9
0.01035140000000001,2002,11,6,0.0,51.1,25.3
-0.0081912,2002,11,7,0.0,56.2,32.0
0.018743399999999966,2002,11,8,0.05,49.6,35.7
-0.25789580000000006,2002,11,9,0.55,45.2,37.4
0.02767520000000001,2002,11,10,0.06,44.7,28.9
0.022195199999999995,2002,11,11,0.16,43.2,26.2
0.0388296,2002,11,12,0.0,42.3,23.4
0.06023960000000002,2002,11,13,0.0,50.1,25.8
