delta_e,year,month,day,precip
18.51,1970,3,21.2083333333,38.4
19.56,1970,3,21.25,38.4
20.25,1970,3,21.2916666667,38.4
20.13,1970,3,21.3333333333,38.4
20.01,1970,3,21.375,38.4
19.92,1970,3,21.4166666667,38.4
19.8,1970,3,21.4583333333,38.4
19.65,1970,3,21.5,38.4
19.62,1970,3,21.5416666667,38.48
21.84,1970,3,21.5833333333,39.16
24.18,1970,3,21.625,40.71
24.03,1970,3,21.6666666667,41.95
24.09,1970,3,21.7083333333,42.23
23.97,1970,3,21.75,42.48
21.9,1970,3,21.7916666667,42.71
27.87,1970,3,21.8333333333,44.86
32.91,1970,3,21.875,45.54
32.67,1970,3,21.9166666667,45.89
29.55,1970,3,21.9583333333,46.0
27.69,1970,3,22.0,46.0
24.6,1970,3,22.0416666667,46.0
23.64,1970,3,22.0833333333,46.0
23.04,1970,3,22.125,46.0
21.87,1970,3,22.1666666667,46.0
19.59,1970,3,22.2083333333,46.0
16.23,1970,3,22.25,46.0
11.37,1970,3,22.2916666667,46.0
4.74,1970,3,22.3333333333,46.0
-0.12,1970,3,22.375,46.0
-5.58,1970,3,22.4166666667,46.0
-9.6,1970,3,22.4583333333,46.0
-13.47,1970,3,22.5,46.0
-18.0,1970,3,22.5416666667,46.0
-22.38,1970,3,22.5833333333,46.0
-26.01,1970,3,22.625,46.0
-28.74,1970,3,22.6666666667,46.0
-29.58,1970,3,22.7083333333,46.0
-31.53,1970,3,22.75,46.0
-32.76,1970,3,22.7916666667,46.0
-33.78,1970,3,22.8333333333,46.0
-34.5,1970,3,22.875,46.0
-34.71,1970,3,22.9166666667,46.0
-34.89,1970,3,22.9583333333,46.0
-34.95,1970,3,23.0,46.0
-34.65,1970,3,23.0416666667,46.0
-34.29,1970,3,23.0833333333,46.0
-33.99,1970,3,23.125,46.0
-33.69,1970,3,23.1666666667,46.0
-33.24,1970,3,23.2083333333,46.0
-32.46,1970,3,23.25,46.0
-30.9,1970,3,23.2916666667,46.0
-29.1,1970,3,23.3333333333,46.0
-27.3,1970,3,23.375,46.0
-25.5,1970,3,23.4166666667,46.0
-24.12,1970,3,23.4583333333,46.0
-23.13,1970,3,23.5,46.0
-22.32,1970,3,23.5416666667,46.0
-21.63,1970,3,23.5833333333,46.0
-21.48,1970,3,23.625,46.0
-21.12,1970,3,23.6666666667,46.0
-20.94,1970,3,23.7083333333,46.0
-20.76,1970,3,23.75,46.0
-20.67,1970,3,23.7916666667,46.0
